product_id,name,category,price,cost,stock_quantity
1,Laptop Pro 15,Electronics,1299.99,850.00,45
2,Wireless Mouse,Electronics,29.99,12.00,230
3,USB-C Hub,Electronics,49.99,22.00,180
4,Mechanical Keyboard,Electronics,149.99,75.00,95
5,Monitor 27 inch,Electronics,399.99,250.00,60
6,Webcam HD,Electronics,79.99,35.00,150
7,Desk Lamp LED,Home Office,39.99,15.00,200
8,Ergonomic Chair,Home Office,449.99,280.00,35
9,Standing Desk,Home Office,599.99,350.00,25
10,Cable Management Kit,Home Office,19.99,8.00,300
11,Notebook Set,Stationery,12.99,4.00,500
12,Pen Pack Premium,Stationery,8.99,2.50,450
13,Desk Organizer,Stationery,24.99,10.00,175
14,Whiteboard 36x24,Stationery,89.99,45.00,80
15,Sticky Notes Mega,Stationery,6.99,2.00,600
16,Headphones Wireless,Electronics,199.99,95.00,120
17,Phone Stand,Electronics,15.99,5.00,350
18,Screen Protector Pack,Electronics,9.99,2.00,400
19,Laptop Bag,Accessories,69.99,30.00,140
20,Mouse Pad XL,Accessories,19.99,6.00,280
